,Key,Faculty,Department,Program,Level,Degree,Course code,Course number,Title,Description,Metadata,Type,Website,Class Units
11,FAS_1004,FAS,History,History,Undergraduate,Bachelor,HIST,390,Urban History Laboratory,Students conduct original archival and/or oral history research on a selected aspect of Montreal’s history and then go public with their research in creative and engaging ways.,Courses,Course-integrated,,3.0
12,FAS_1005,FAS,History,History,Undergraduate,Bachelor,HIST,397,History and Sound,"This course examines sound as a historical subject and a medium for understanding the past. The course may include training in the production of radio documentaries, urban sound walks, and audio podcasts.",Courses,Course-integrated,,3.0
13,FAS_1006,FAS,History,History,Undergraduate,Bachelor,HIST,403,Methodology and History,"This course examines the variety of sources, methods, and modes of analysis used in the research and writing of history. It addresses both theoretical and practical aspects of method.",Courses,Course-integrated,,3.0
14,FAS_1007,FAS,History,History,Undergraduate,Bachelor,HIST,481,Advanced Topics in Public History,"Advanced seminar in a selected topic in public history. In addition to weekly discussions of relevant readings, the emphasis is on encouraging students to conduct historical investigation on their own, under a professor’s guidance.",Courses,Course-integrated,,3.0
15,FAS_1008,FAS,History,History,Undergraduate,Bachelor,HIST,486,Public History Internship,This internship in public history is designed to allow students to test and hone their skills in a non‑academic situation.,Courses,Course-integrated,,3.0
16,FAS_1009,FAS,History,History,Graduate,Master,HIST,685,Master’s Thesis,Master's Thesis,Courses,Course-integrated,,3.0
17,FAS_101,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,484,Communication Media: Moving Images III,Practicum course,,Course-integrated,,3.0
18,FAS_1010,FAS,History,History,Graduate,PhD,HIST,890,Thesis Research,Thesis Research,Courses,Course-integrated,,3.0
19,FAS_1011,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB,496,Directed Research,"Practical, hands-on exercises",Courses,Course-integrated;Research-based;,,4.0
20,FAS_1012,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB,498,Seminar in Women’s Studies,"Practical, hands-on exercises",Courses,Course-integrated,,4.0
21,FAS_1013,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB,290,Introduction to Historical Perspectives in Women’s Studies,"This course provides an introduction to theories and writing that affect the lives of women. Through the writing of feminist authors, students examine, from mainly the 20th century, the development of feminist theories and debate.",Courses,Research-based,,4.0
22,FAS_1014,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB,291,Introduction to Contemporary Concerns in Women’s Studies,"This course explores a range of current issues and debates within feminism. Using interdisciplinary feminist theories that consider how systems of power such as patriarchy, capitalism, racism, and heterosexism constitute one another, it examines particular local and global topics of interest/concern which may include health, education, work, violence against women, globalization, militarism, media and cultural representations, families, and feminist activism.",Courses,Research-based,,3.0
23,FAS_1015,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB,391,Health Issues: Feminist Perspectives,"This course presents feminist, intersectional, postcolonialist, poststructuralist and queer examinations of a variety of women’s health issues.",Courses,Course-integrated,,3.0
24,FAS_1016,FAS,English,English Literature,Undergraduate,Bachelor,ENGL,470,Honours Seminar,"With the permission of the Department, a student may arrange a tutorial program with a faculty member.",Courses,Course-integrated,,3.0
25,FAS_1017,FAS,English,English Literature,Undergraduate,Bachelor,ENGL,224,The Creative Process,"This course introduces students to some options for developing their own process of literary creation, from the ENGLISH development of an idea through to the writing and editing of works of prose fiction, poetry, and/or drama.",Courses,Course-integrated,,6.0
26,FAS_1018,FAS,English,English Literature,Graduate,Master,ENGL,601,Literary Pedagogies,Special Topics in English Literature,Courses,Course-integrated,,1.0
27,FAS_1019,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,214,Deductive Logic,"This course presents the modern symbolic systems of sentential and predicate logic. Students transcribe English sentences into a logical form, analyze the concepts of logical truth, consistency, and validity, as well as learn to construct derivations in each system.",Courses,Course-integrated,,3.0
28,FAS_1020,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,220,Introduction to the Philosophy of Science,"This course provides an introduction to the main problems in the philosophy of science. These include the structure of scientific theories, various models of scientific method and explanation, and the existence of unobservables.",Courses,Course-integrated,,3.0
29,FAS_1021,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,232,Introduction to Ethics,"In this course, students are introduced to some representative approaches to ethical thought and action.",Courses,Course-integrated,,4.0
30,FAS_1022,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,260,Presocratics and Plato,This course is a study of ancient Greek philosophy from its beginnings to Plato.,Courses,Course-integrated,,4.0
31,FAS_1023,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,261,Aristotle and Hellenistic Philosophy,"This course is an introduction to Aristotle and the main lines of thought in Hellenistic philosophy, including Stoicism, Epicureanism and Scepticism.",Courses,Course-integrated,,4.0
32,FAS_1024,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,263,Introduction to Epistemology,"An introduction to the basic concepts and problems in epistemology, including belief, knowledge, scepticism, perception, and intentionality.",Courses,Course-integrated,,1.0
33,FAS_1025,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,265,Introduction to Metaphysics,This course is an introduction to metaphysics and the attempt to understand a mind‑independent reality.,Courses,Course-integrated,,4.0
34,FAS_1026,FAS,Political science,Political science,Undergraduate,Bachelor,POLI,205,Introduction to International Relations,"This course introduces the principal theories, concepts, and debates in the contemporary study of international relations. It provides an overview of issues in international security, international political economy and global governance.",Courses,Course-integrated; Simulations,,4.0
35,FAS_1027,FAS,Political science,Political science,Undergraduate,Bachelor,POLI,214,Human Rights: An Overview,"This course introduces students to the historical origins of the concept of human rights; the international regime and the acceptance of several generations of rights such as civil and political rights, economic rights, group rights, and women’s rights; the critiques of universalism and the problems of implementation of human rights.",Courses,Course-integrated; Public art project in Montreal,,4.0
36,FAS_1028,FAS,Political science,Political science,Undergraduate,Bachelor,POLI,300,Not‑for‑Profit Organizations and the Law,"This course introduces students to the legal regimes affecting not‑for‑ profit organizations (NPO). The course covers the legal structures, rules and procedures that govern NPOs, the vast diversity of NPOs, and practical questions such as how to set up an NPO.",Courses,Course-integrated; Practical case studies,,4.0
37,FAS_1029,FAS,Political science,Political science,Undergraduate,Bachelor,POLI,315,International Organizations,"This course offers an overview of international institutions and global governance. It examines major theoretical perspectives on international organizations, and addresses the role of the United Nations system, regional organizations, and non‑governmental organizations in promoting international co‑operation to address collective problems.",Courses,Course-integrated; Simulations,,4.0
38,FAS_103,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,493,Communication Media: Advanced Topics,Practicum course,,Course-integrated,,3.0
39,FAS_1030,FAS,Political science,Political science,Undergraduate,Bachelor,POLI,328,Public Policy and the Politics of Equality,"This course reviews theoretical debates about the role of the state and the individual, collective and individual rights, integration, and the role of cultural diversity and identity. It examines selected policy demands of women, the poor, refugees, and other constituencies.",Courses,Course-integrated; Practical case studies,,4.0
40,FAS_1031,FAS,Political science,Political science,Undergraduate,Bachelor,POLI,392,Approaches to Social Science Inquiry,"This course introduces students to a variety of approaches to social scientific inquiry, focusing on their underlying logics. The course covers variable‑based research of the qualitative and quantitative variety and alternatives to this approach such as critical theory, process‑tracing, modelling, ethnography, interpretivist analysis, and conceptual analysis.",Courses,Course-integrated,,4.0
49,FAS_104,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,513,Cultures of Production,Field research projects,Courses,Course-integrated,,4.0
60,FAS_105,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,562,Media Production: Sound,Lectures and Laboratory: average 6 hours per week,Courses,Course-integrated,,4.0
71,FAS_106,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,570,Media Production: Intermedia,Lectures and Laboratory: average 6 hours per week,Courses,Course-integrated,,3.0
76,FAS_1064,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB,491,Feminist Perspectives on Culture,"This seminar explores the central concepts and theories in feminist cultural studies, as they inform feminist, post‑colonial, queer, and post‑structuralist understandings of culture.",Courses,Course-integrated,,3.0
77,FAS_1065,FAS,Simone de Beauvoir Institute,Sexuality Studies,Undergraduate,Bachelor,SSDB,492,Seminar in Advanced Topics in Sexuality I,This seminar is designed to provide a setting for concentrated learning and an opportunity for advanced feminist and intersectional study on a research topic in sexuality.,Courses,Course-integrated,,3.0
80,FAS_107,FAS,Communication Studies,Media Studies,Graduate,Master,COMS,606,Media Research Practicum,Individual research practicum offered on a tutorial basis under faculty supervision,Practica,Course-integrated,,3.0
81,FAS_108,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,423 (x-listed w 523),Applied Econometrics,computer analysis; case studies; model building,Courses,Course-integrated,,3.0
82,FAS_109,FAS,Economics,Economics,Graduate,Master / PhD,ECON,680,Econometric Theory I,computer-based applications,Courses,Course-integrated,,3.0
83,FAS_11,FAS,Applied Human Sciences,Human Relations,Undergraduate,Bachelor / Certificate,AHSC,443,Community Development I,Community,Courses,Course-integrated,,3.0
84,FAS_110,FAS,Economics,Economics,Graduate,Master / PhD,ECON,683,Applied Econometrics: Microeconometrics,practical aspects of analysis,Courses,Course-integrated,,3.0
85,FAS_12,FAS,Applied Human Sciences,Human Relations,Undergraduate,Bachelor,AHSC,456,Advanced Family Life Education,"Fieldwork, 1 hour per week of observation in a family life education setting",Courses,Course-integrated,,3.0
86,FAS_13,FAS,Applied Human Sciences,Human Relations,Undergraduate,Bachelor,AHSC,470,Basic Human Relations Laboratory,Laboratory,Courses,Course-integrated,,3.0
87,FAS_139,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,225,Introductory Creative Writing: Poetry,"Writing workshop (peer critique, revision, ongoing development)",Courses,Course-integrated,,3.0
88,FAS_14,FAS,Applied Human Sciences,Leisure Sciences,Undergraduate,Bachelor,AHSC,490,Independent Study I,"Field studies, and/or research",Courses,Course-integrated,,3.0
89,FAS_140,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,226,Introductory Creative Writing: Prose Fiction,"Writing workshop (peer critique, revision, ongoing development)",Courses,Course-integrated,,3.0
90,FAS_141,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,227,Introductory Creative Writing: Playwriting,"Writing workshop (peer critique, revision, ongoing development)",Courses,Course-integrated,,3.0
91,FAS_142,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,342,Creative Writing: Prose Fiction,"Writing workshop (peer critique, revision, ongoing development)",Courses,Course-integrated,,3.0
92,FAS_143,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,347,Creative Non-Fiction Writing,"Writing workshop (peer critique, revision, ongoing development)",Courses,Course-integrated,,3.0
93,FAS_144,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,348,Creative Writing: Poetry,"Writing workshop (peer critique, revision, ongoing development)",Courses,Course-integrated,,3.0
94,FAS_145,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,429,Advanced Studies in Creative Writing,"Writing workshop (peer critique, revision, ongoing development)",Courses,Course-integrated,,3.0
95,FAS_146,FAS,English,English Literature,Graduate,PhD,ENGL,802,Professional Development Workshops,Workshops,Courses,Course-integrated,,3.0
96,FAS_147,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,415,Literary Production: Curating and Archiving the Literary Event,Students aid in the development and maintenance of a related blog and an archive of current and previous reading series,Courses,Course-integrated,,3.0
97,FAS_148,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,416,The Solo Play,"Writing workshop (peer critique, revision, ongoing development)",Courses,Course-integrated,,3.0
98,FAS_15,FAS,Applied Human Sciences,Leisure Sciences,Undergraduate,Bachelor,AHSC,491,Independent Study II,"Field studies, and/or research",Courses,Course-integrated,,3.0
99,FAS_150,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,428,Advanced Studies in Creative Writing,"Writing workshop (peer critique, revision, ongoing development)",Courses,Course-integrated,,3.0
100,FAS_151,FAS,Études françaises,Littératures de langue française,Undergraduate,Bachelor,FLIT,454,Histoire du livre et de l’édition,"métiers (du livre), rapports (entre éditeur et auteur)",Courses,Course-integrated,,3.0
101,FAS_152,FAS,Études françaises,Littératures de langue française,Undergraduate,Bachelor,FLIT,486,Création littéraire I,ateliers et travaux (d’écriture),Courses,Course-integrated,,6.0
102,FAS_153,FAS,Études françaises,Littératures de langue française,Undergraduate,Bachelor,FLIT,488,Création littéraire II,ateliers d’écriture ainsi que par l’élaboration d’un projet individuel,Capstone projects,Course-integrated,,3.0
103,FAS_154,FAS,Études françaises,Littératures de langue française,Undergraduate,Bachelor,FLIT,496,Recherche dirigée,travaux individuels,Courses,Course-integrated,,3.0
104,FAS_155,FAS,Études françaises,Littératures de langue française,Undergraduate,Bachelor,FLIT,498,Étude d’un sujet particulier,sujets particuliers,Courses,Course-integrated,,3.0
105,FAS_156,FAS,Études françaises,Littératures de langue française,Graduate,Master,FLIT,690,Présentation du mémoire,mémoire,Courses,Course-integrated,,3.0
106,FAS_157,FAS,Études françaises,Littératures de langue française,Graduate,Master,FLIT,691,Présentation du mémoire incluant une réalisation médiatique,"mémoire, réalisation médiatique",Courses,Course-integrated,,3.0
107,FAS_158,FAS,Études françaises,Littératures de langue française,Graduate,Master,FLIT,692,Mémoire,mémoire,Courses,Course-integrated,,3.0
108,FAS_159,FAS,Études françaises,Littératures de langue française,Graduate,Master,FLIT,693,Mémoire incluant une réalisation médiatique,"mémoire, réalisation médiatique",Courses,Course-integrated,,3.0
109,FAS_16,FAS,Applied Human Sciences,Youth Work,Graduate,Certificate,AHSC,510,Advanced Research Methods in Youth Work,Applied research project,Courses,Course-integrated,,3.0
110,FAS_160,FAS,Études françaises,Langue française,Undergraduate,Bachelor,FRAA,423,Rédaction avancée,compétences (rédactionnelles),Courses,Course-integrated,,3.0
111,FAS_164,FAS,Études françaises,Langue française,Undergraduate,Bachelor,FRAA,491,Tutorat en langue ou linguistique,sujet particulier,Courses,Course-integrated,,3.0
112,FAS_165,FAS,Études françaises,Langue française,Undergraduate,Bachelor,FRAA,492,Tutorat en langue ou linguistique,sujet particulier,Courses,Course-integrated,,6.0
113,FAS_166,FAS,Études françaises,Langue française,Undergraduate,Bachelor,FRAA,498,Étude avancée d’un sujet particulier,sujets particuliers,Courses,Course-integrated,,3.0
114,FAS_167,FAS,Études françaises,Traduction,Graduate,Certificate,FRAA,523,Rédaction avancée,compétences (rédactionnelles),Courses,Course-integrated,,3.0
115,FAS_169,FAS,Études françaises,Traduction,Graduate,Certificate,FRAA,598,Étude avancée d’un sujet particulier,étude avancée,Courses,Course-integrated,,3.0
116,FAS_17,FAS,Applied Human Sciences,Youth Work,Graduate,Certificate,AHSC,525,Individual and Group Intervention with Youth,"Fieldwork component, 1 hour per week of observation in a youth work setting",Courses,Course-integrated,,3.0
117,FAS_172,FAS,Études françaises,Langue française,Undergraduate,Bachelor,FRAN,318,Le français des affaires,techniques de la correspondance commerciale; communications d’affaires,Courses,Course-integrated,,6.0
118,FAS_174,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,411,Terminologie et mondialisation,"aspect pratique, utilisation d’outils",Courses,Course-integrated,,3.0
119,FAS_175,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,416,Informatique et traduction,"exercices, initiation aux outils informatisés",Courses,Course-integrated,,3.0
120,FAS_176,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,418,"Web, technologies, traduction : théories et critiques",travail approfondi de recherche,Courses,Course-integrated,,3.0
121,FAS_177,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,438,Initiation au sous-titrage,volet pratique,Courses,Course-integrated,,3.0
122,FAS_178,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,452,Traduction automatique (TA) et traduction assistée par ordinateur (TAO),"exercises, appliquent des outils",Courses,Course-integrated,,3.0
123,FAS_179,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,455,Gestion de projets,mises en situation,Courses,Course-integrated,,3.0
124,FAS_18,FAS,Applied Human Sciences,Youth Work,Graduate,Certificate,AHSC,527,Advanced Youth Work Intervention: Case Management and Supervision,Implementing & monitoring effective and collaborative case plans with young people & their families,Courses,Course-integrated,,3.0
125,FAS_180,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,492,Tutorat en traduction,sujet particulier,Courses,Course-integrated,,3.0
126,FAS_181,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,498,Étude avancée d’un sujet particulier,sujet particulier,Courses,Course-integrated,,1.0
127,FAS_182,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,499,Étude avancée d’un sujet particulier,sujets particuliers,Courses,Course-integrated,,1.0
128,FAS_183,FAS,Études françaises,Traduction,Graduate,Certificate,FTRA,527,Travaux dirigés (A),travaux dirigés,Course-integrated projects,Course-integrated,,3.0
129,FAS_184,FAS,Études françaises,Traduction,Graduate,Certificate,FTRA,528,Travaux dirigés (F),travaux dirigés,Course-integrated projects,Course-integrated,,2.0
130,FAS_185,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,534,Terminologie et mondialisation,"aspect pratique, utilisation d’outils",Courses,Course-integrated,,2.0
131,FAS_186,FAS,Études françaises,Technologies de la traduction,Graduate,Certificate,FTRA,555,Gestion de projets,mises en situation,Courses,Course-integrated,,3.0
132,FAS_187,FAS,Études françaises,Technologies de la traduction,Graduate,Certificate,FTRA,556,Programmation en localisation,"manipulation, programmation",Courses,Course-integrated,,3.0
133,FAS_188,FAS,Études françaises,Technologies de la traduction,Graduate,Certificate,FTRA,558,Pratique de la localisation,"pratique, logiciels",Courses,Course-integrated,,3.0
134,FAS_189,FAS,Études françaises,Traduction,Graduate,Certificate,FTRA,598,Étude avancée d’un sujet particulier,étude avancée,Courses,Course-integrated,,2.0
135,FAS_19,FAS,Applied Human Sciences,Youth Work,Graduate,Certificate,AHSC,599,Independent Study,"Field studies, and/or research",Courses,Course-integrated,,6.0
136,FAS_190,FAS,Études françaises,Technologies de la traduction,Graduate,Certificate,FTRA,598,Étude avancée d’un sujet particulier / Special Topics,"étude avancée, sujet particulier",Courses,Course-integrated,,3.0
137,FAS_191,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,612,Traduction avancée en sciences humaines et sociales Co-listé : FTRA 542 ou FTRA 543,séminaire pratique,Courses,Course-integrated,,3.0
138,FAS_192,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,613,Advanced translation in social sciences and the humanities Co-listé : FTRA 542 ou FTRA 543,séminaire pratique,Courses,Course-integrated,,3.0
139,FAS_193,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,614,"Traduction littéraire avancée
Co-listé : FTRA 544 ou 545",séminaire pratique,Courses,Course-integrated,,3.0
140,FAS_194,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,615,Advanced literary translation Co-listé : FTRA 544 ou 545,séminaire pratique,Courses,Course-integrated,,3.0
141,FAS_195,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,631,Initiation à la traduction générale Co-listé : FTRA 531,outils de travail,Courses,Course-integrated,,3.0
142,FAS_196,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,632,Initiation à la traduction générale Co-listé : FTRA 532,outils de travail,Courses,Course-integrated,,3.0
143,FAS_197,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,633,Aspects théoriques et pratiques de la terminologie Co-listé : FTRA 533,"aspects pratiques, supports informatisés",Courses,Course-integrated,,3.0
144,FAS_198,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,634,Traduction littéraire de l’anglais au français Co-listé : FTRA 504,travaux pratiques,Courses,Course-integrated,,3.0
145,FAS_199,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,635,Traduction littéraire du français à l’anglais Co-listé : FTRA 501,travaux pratiques,Courses,Course-integrated,,3.0
146,FAS_2,FAS,Applied Human Sciences,Human Relations,Undergraduate,Bachelor,AHSC,232,Working in Task Groups,Opportunities to integrate the theory they learn with their experiences in a task group,Courses,Course-integrated,,3.0
147,FAS_20,FAS,Applied Human Sciences,Human Systems Intervention,Graduate,Certificate,AHSC,610,Group Process Intervention,"Residential Laboratory; Course-integrated
projects",,Course-integrated,,3.0
148,FAS_200,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,636,Informatique et traduction Co-listé : FTRA 536,"exercises, initiation aux outils informatisés",Courses,Course-integrated,,3.0
149,FAS_201,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,638,"Initiation au sous-titrage
Co-listé : FTRA 538",volet pratique,Courses,Course-integrated,,3.0
150,FAS_202,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,652,Traduction assistée par ordinateur (TAO) et post édition Co-listé : FTRA 552,"appliquer, exercices de programmation, outils, logiciels",Courses,Course-integrated,,3.0
151,FAS_203,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,655,Gestion de projets Co-listé : FTRA 555,mises en situation,Courses,Course-integrated,,3.0
152,FAS_204,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,658,Pratique de la localisation Co-listé : FTRA 558,pratique,Courses,Course-integrated,,3.0
153,FAS_205,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,668,"Web, technologies, traduction : théories et critiques",travail approfondi de recherche,Courses,Course-integrated,,3.0
154,FAS_206,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,680,Tutorat en littérature,tutorat,Courses,Course-integrated,,3.0
155,FAS_207,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,681,Tutorial in literature,tutorial,Courses,Course-integrated,,3.0
156,FAS_208,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,682,Tutorat en traduction,tutorat,Courses,Course-integrated,,3.0
157,FAS_209,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,683,Tutorial in translation,tutorial,Courses,Course-integrated,,3.0
158,FAS_21,FAS,Applied Human Sciences,Human Systems Intervention,Graduate,Certificate,AHSC,620,Learning and Individual Change Processes,Course-integrated projects; Capstone project,,Course-integrated,,3.0
159,FAS_210,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,684,Tutorat en linguistique,tutorat,Courses,Course-integrated,,3.0
160,FAS_211,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,685,Tutorial in linguistics,tutorial,Courses,Course-integrated,,3.0
161,FAS_212,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,686,Projet de mémoire,projet de mémoire,Courses,Course-integrated,,3.0
162,FAS_213,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,698,Étude d’un sujet particulier / Special Topics,innovation pédagogique,Courses,Course-integrated,,3.0
165,FAS_217,FAS,"Health, Kinesiology and Applied Physiology",Any program,Undergraduate,Bachelor,CATA,262,Emergency Care in Sport and Exercise,Laboratory,Courses,Course-integrated,,3.0
166,FAS_218,FAS,"Health, Kinesiology and Applied Physiology",Athletic Therapy / Exercise Science / Clinical Exercise Physiology,Undergraduate,Bachelor,CATA,263,Principles of Athletic Therapy,Laboratory,Courses,Course-integrated,,3.0
167,FAS_219,FAS,"Health, Kinesiology and Applied Physiology",Athletic Therapy,Undergraduate,Bachelor,CATA,337,Assessment of the Upper and Lower Extremities,Laboratory,Courses,Course-integrated,,3.0
168,FAS_22,FAS,Applied Human Sciences,Human Systems Intervention,Graduate,Certificate,AHSC,631,Research Methods,Course-integrated projects; Simulations; Participatory action research,,Course-integrated,,3.0
169,FAS_220,FAS,"Health, Kinesiology and Applied Physiology",Athletic Therapy,Undergraduate,Bachelor,CATA,339,Rehabilitation of the Upper and Lower Extremities,Laboratory,Courses,Course-integrated,,3.0
170,FAS_221,FAS,"Health, Kinesiology and Applied Physiology",Athletic Therapy,Undergraduate,Bachelor,CATA,348,Therapeutic Modalities in Sports Medicine,Laboratory,Courses,Course-integrated,,3.0
171,FAS_222,FAS,"Health, Kinesiology and Applied Physiology",Athletic Therapy,Undergraduate,Bachelor,CATA,437,"Assessment of the Hip, Spine and Pelvis",Laboratory,Courses,Course-integrated,,3.0
172,FAS_223,FAS,"Health, Kinesiology and Applied Physiology",Athletic Therapy,Undergraduate,Bachelor,CATA,439,"Rehabilitation of the Hip, Spine and Pelvis",Laboratory,Courses,Course-integrated,,3.0
173,FAS_224,FAS,"Health, Kinesiology and Applied Physiology",Athletic Therapy,Undergraduate,Bachelor,CATA,441,Concepts in Manual Therapy,Laboratory,Courses,Course-integrated,,3.0
174,FAS_225,FAS,"Health, Kinesiology and Applied Physiology",Athletic Therapy,Undergraduate,Bachelor,CATA,462,Advanced Emergency Care,Laboratory,Courses,Course-integrated,,3.0
175,FAS_226,FAS,"Health, Kinesiology and Applied Physiology",Any program,Undergraduate,Bachelor,EXCI,252,"Introduction to Physical Activity, Health and Fitness",Laboratory,Courses,Course-integrated,,3.0
176,FAS_227,FAS,"Health, Kinesiology and Applied Physiology",Any program,Undergraduate,Bachelor,EXCI,253,Human Anatomy I: Musculoskeletal Anatomy,Laboratory,Courses,Course-integrated,,3.0
177,FAS_228,FAS,"Health, Kinesiology and Applied Physiology",Any program,Undergraduate,Bachelor,EXCI,254,Human Anatomy II: Systemic Anatomy,Laboratory,Courses,Course-integrated,,3.0
178,FAS_229,FAS,"Health, Kinesiology and Applied Physiology",Exercise Science,Undergraduate,Bachelor,EXCI,258,"Human Physiology I: Musculoskeletal, Neuromuscular and Bioenergetic Systems: From Rest to Exercise",Laboratory,Courses,Course-integrated,,3.0
179,FAS_23,FAS,Applied Human Sciences,Human Systems Intervention,Graduate,Certificate,AHSC,632,Planning Human Systems Intervention,Course-integrated projects; Simulations; Case studies,,Course-integrated,,3.0
